Consequence,CADD_PHEDD
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant,max
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
splice_polypyrimidine_tract_variant&intron_variant,max
splice_polypyrimidine_tract_variant&intron_variant,max
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
start_lost&5_prime_UTR_variant,max
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&stop_lost&inframe_deletion&splice_polypyrimidine_tract_variant&intron_variant,max
splice_polypyrimidine_tract_variant&intron_variant,max
splice_donor_region_variant&intron_variant,max
splice_polypyrimidine_tract_variant&intron_variant,max
stop_gained&frameshift_variant&splice_region_variant,max
3_prime_UTR_variant&NMD_transcript_variant,low
splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant,max
start_lost&5_prime_UTR_variant,max
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
splice_donor_region_variant&intron_variant,max
stop_lost&3_prime_UTR_variant,max
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant,max
splice_donor_region_variant&intron_variant,max
splice_region_variant&5_prime_UTR_variant,max
splice_region_variant&non_coding_transcript_exon_variant,max
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
splice_polypyrimidine_tract_variant&intron_variant,max
splice_donor_region_variant&intron_variant,max
