Unique Null Consequences,CADD_PHRED imputed
intron_variant,0
frameshift_variant,max
inframe_deletion,max
inframe_insertion,max
3_prime_UTR_variant,low
downstream_gene_variant,low
upstream_gene_variant,low
inframe_deletion&splice_region_variant,max
frameshift_variant&splice_region_variant,max
intron_variant&non_coding_transcript_variant,0
mature_miRNA_variant,low
non_coding_transcript_exon_variant,low
splice_acceptor_variant,max
5_prime_UTR_variant,0
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant,max
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant,max
splice_donor_variant&coding_sequence_variant,max
splice_donor_5th_base_variant&intron_variant,max
splice_donor_variant,max
intron_variant&NMD_transcript_variant,low
protein_altering_variant,max
start_lost&inframe_deletion,max
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant,max
stop_gained&inframe_insertion,max
splice_donor_variant&splice_donor_region_variant&intron_variant,max
inframe_insertion&splice_region_variant,max
splice_acceptor_variant&coding_sequence_variant,max
splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant,max
frameshift_variant&start_lost,max
frameshift_variant&stop_lost,max
intergenic_variant,0
stop_gained&frameshift_variant,max
frameshift_variant&splice_region_variant&NMD_transcript_variant,max
splice_region_variant&intron_variant,max
