protein1,protein2,combined_score,protein1_original_name,protein2_original_name
9606.ENSP00000000412,9606.ENSP00000371308,208,M6PR,CENPJ
9606.ENSP00000001008,9606.ENSP00000448012,292,FKBP4,CEP290
9606.ENSP00000001146,9606.ENSP00000267113,163,CYP26B1,ESYT1
9606.ENSP00000003084,9606.ENSP00000420213,343,CFTR,FLNB
9606.ENSP00000003302,9606.ENSP00000365588,292,USP28,MDC1
9606.ENSP00000005178,9606.ENSP00000363435,787,PDK4,ITPR3
9606.ENSP00000005226,9606.ENSP00000493594,171,USH1C,MYH14
9606.ENSP00000005226,9606.ENSP00000495242,190,USH1C,MYO15B
9606.ENSP00000005226,9606.ENSP00000299441,158,USH1C,DCHS1
9606.ENSP00000005226,9606.ENSP00000265709,158,USH1C,ANK1
9606.ENSP00000005226,9606.ENSP00000386331,998,USH1C,MYO7A
9606.ENSP00000005257,9606.ENSP00000420213,714,RALA,FLNB
9606.ENSP00000005257,9606.ENSP00000263088,395,RALA,PLD2
9606.ENSP00000005257,9606.ENSP00000219476,292,RALA,TSC2
9606.ENSP00000005340,9606.ENSP00000374507,680,DVL2,CCDC88C
9606.ENSP00000005340,9606.ENSP00000336783,306,DVL2,TNRC6C
9606.ENSP00000005340,9606.ENSP00000257430,940,DVL2,APC
9606.ENSP00000005386,9606.ENSP00000293879,200,RPAP3,WDR90
9606.ENSP00000005386,9606.ENSP00000370196,212,RPAP3,SBF1
9606.ENSP00000005995,9606.ENSP00000293879,167,PRSS21,WDR90
9606.ENSP00000006053,9606.ENSP00000200181,236,CX3CL1,ITGB4
9606.ENSP00000009530,9606.ENSP00000216361,159,CD74,COCH
9606.ENSP00000009530,9606.ENSP00000381364,159,CD74,CABIN1
9606.ENSP00000009530,9606.ENSP00000382323,159,CD74,OTOG
9606.ENSP00000009530,9606.ENSP00000376543,159,CD74,TECTA
9606.ENSP00000011653,9606.ENSP00000453508,357,CD4,TLN2
9606.ENSP00000013807,9606.ENSP00000365588,439,ERCC1,MDC1
