Unique Null Consequences,CADD_PHRED imputed,,Consequence,CADD_PHEDD
intron_variant,0,,splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant,max
frameshift_variant,max,,splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
inframe_deletion,max,,splice_polypyrimidine_tract_variant&intron_variant,max
inframe_insertion,max,,splice_polypyrimidine_tract_variant&intron_variant,max
3_prime_UTR_variant,low,,splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
downstream_gene_variant,low,,start_lost&5_prime_UTR_variant,max
upstream_gene_variant,low,,splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&stop_lost&inframe_deletion&splice_polypyrimidine_tract_variant&intron_variant,max
inframe_deletion&splice_region_variant,max,,splice_polypyrimidine_tract_variant&intron_variant,max
frameshift_variant&splice_region_variant,max,,splice_donor_region_variant&intron_variant,max
intron_variant&non_coding_transcript_variant,0,,splice_polypyrimidine_tract_variant&intron_variant,max
mature_miRNA_variant,low,,stop_gained&frameshift_variant&splice_region_variant,max
non_coding_transcript_exon_variant,low,,3_prime_UTR_variant&NMD_transcript_variant,low
splice_acceptor_variant,max,,splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant,max
5_prime_UTR_variant,0,,start_lost&5_prime_UTR_variant,max
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant,max,,splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant,max,,splice_donor_region_variant&intron_variant,max
splice_donor_variant&coding_sequence_variant,max,,stop_lost&3_prime_UTR_variant,max
splice_donor_5th_base_variant&intron_variant,max,,splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant,max
splice_donor_variant,max,,splice_donor_region_variant&intron_variant,max
intron_variant&NMD_transcript_variant,low,,splice_region_variant&5_prime_UTR_variant,max
protein_altering_variant,max,,splice_region_variant&non_coding_transcript_exon_variant,max
start_lost&inframe_deletion,max,,splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant,max
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant,max,,splice_polypyrimidine_tract_variant&intron_variant,max
stop_gained&inframe_insertion,max,,splice_donor_region_variant&intron_variant,max
splice_donor_variant&splice_donor_region_variant&intron_variant,max,,,
inframe_insertion&splice_region_variant,max,,,
splice_acceptor_variant&coding_sequence_variant,max,,,
splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant,max,,,
frameshift_variant&start_lost,max,,,
frameshift_variant&stop_lost,max,,,
intergenic_variant,0,,,
stop_gained&frameshift_variant,max,,,
frameshift_variant&splice_region_variant&NMD_transcript_variant,max,,,
splice_region_variant&intron_variant,max,,,
