gene_id,start,end,gene_length
ENSG00000142611,3069168,3438621,369454
ENSG00000284616,5301928,5307394,5467
ENSG00000157911,2403964,2413797,9834
ENSG00000260972,5492978,5494674,1697
ENSG00000224340,10054445,10054781,337
ENSG00000229280,4175528,4175899,372
ENSG00000142655,10472288,10630758,158471
ENSG00000232596,4571481,4594016,22536
ENSG00000231510,5086459,5090899,4441
ENSG00000149527,2425980,2505532,79553
ENSG00000171621,9292894,9369532,76639
ENSG00000272235,3306636,3310096,3461
ENSG00000284694,4479131,4484375,5245
ENSG00000224387,2492300,2493258,959
ENSG00000142583,9035106,9088478,53373
ENSG00000284674,4973381,4981568,8188
ENSG00000224338,11425257,11425821,565
ENSG00000287727,10612222,10616452,4231
ENSG00000173614,9943428,9985501,42074
ENSG00000215720,15191828,15192845,1018
ENSG00000241326,9983141,9984568,1428
ENSG00000233623,10058671,10059648,978
ENSG00000204624,11479155,11537551,58397
ENSG00000142606,2590639,2633016,42378
ENSG00000225931,2566410,2569888,3479
ENSG00000171729,15152532,15220478,67947
ENSG00000229393,2493437,2494479,1043
ENSG00000287586,4730211,4734992,4782
ENSG00000227169,4551735,4552145,411
ENSG00000283356,5554747,5554881,135
ENSG00000157916,2391775,2405442,13668
ENSG00000157881,2508537,2526597,18061
ENSG00000225387,18385829,18388514,2686
ENSG00000048707,12230030,12512047,282018
ENSG00000225196,12220794,12221109,316
ENSG00000162444,9997206,10016021,18816
ENSG00000279625,22364630,22366482,1853
ENSG00000180758,9100305,9129102,28798
ENSG00000184677,22428838,22531157,102320
ENSG00000285833,11500803,11502016,1214
ENSG00000131697,5862811,5992473,129663
ENSG00000280222,18109389,18115861,6473
ENSG00000285945,2768091,2784733,16643
ENSG00000197921,2528745,2530263,1519
ENSG00000284666,5480787,5482028,1242
ENSG00000228943,28109739,28110298,560
ENSG00000234397,22322840,22323331,492
ENSG00000204138,28369582,28500364,130783
ENSG00000233419,25125053,25125454,402
ENSG00000225011,29488193,29496893,8701
ENSG00000284676,29755175,29790597,35423
ENSG00000090020,27098809,27166981,68173
ENSG00000158006,25959767,25998117,38351
ENSG00000214812,28120449,28121321,873
ENSG00000196581,4654609,4792534,137926
ENSG00000169403,28147166,28193936,46771
ENSG00000171612,9539465,9585173,45709
ENSG00000270927,29904865,29905357,493
ENSG00000188910,34781214,34786369,5156
ENSG00000230523,29329620,29350114,20495
ENSG00000158161,27970344,28088637,118294
ENSG00000233234,2811850,2812692,843
ENSG00000189337,13892792,15118043,1225252
ENSG00000028137,12166991,12209228,42238
ENSG00000283259,2773603,2776473,2871
ENSG00000130939,10032832,10181239,148408
ENSG00000175147,15111815,15153618,41804
ENSG00000127472,20028179,20091911,63733
ENSG00000060656,29236516,29326813,90298
ENSG00000230214,36630335,36630857,523
ENSG00000189280,34755047,34758512,3466
ENSG00000134698,35808016,35857890,49875
ENSG00000272420,2363061,2363628,568
ENSG00000273274,32465072,32496686,31615
ENSG00000236648,17717625,17749978,32354
ENSG00000232273,37544763,37545294,532
ENSG00000130940,10636604,10796650,160047
ENSG00000163879,37556919,37566857,9939
ENSG00000227527,42335386,42338376,2991
ENSG00000116954,38838198,38859772,21575
ENSG00000163873,36795527,37034515,238989
ENSG00000117215,20111939,20119566,7628
ENSG00000230163,34850694,34851555,862
ENSG00000227538,42040597,42041729,1133
ENSG00000044012,42153410,42155820,2411
ENSG00000179051,17406760,17439677,32918
ENSG00000215895,38708931,38710890,1960
ENSG00000126067,35599541,35641526,41986
ENSG00000274944,38864501,38881617,17117
ENSG00000272078,10639241,10654333,15093
ENSG00000230451,37330852,37330996,145
ENSG00000231606,14221887,14304445,82559
ENSG00000054118,36224432,36305357,80926
ENSG00000254553,32465057,32600792,135736
ENSG00000284653,18015712,18045612,29901
ENSG00000237749,37556247,37556499,253
ENSG00000276747,17372196,17401699,29504
ENSG00000228776,42140635,42141391,757
ENSG00000159339,17308195,17364004,55810
ENSG00000261781,18065657,18074412,8756
ENSG00000158315,38885807,38941830,56024
ENSG00000186973,43145153,43156396,11244
ENSG00000146463,35268709,35422058,153350
ENSG00000142686,35713877,35718894,5018
ENSG00000224751,43850300,43851611,1312
ENSG00000117148,17755333,17827063,71731
ENSG00000230585,50780340,50781150,811
ENSG00000117000,40161387,40240921,79535
ENSG00000284989,43650149,43931014,280866
ENSG00000231630,2814432,2814998,567
ENSG00000092853,35720218,35769978,49761
ENSG00000255811,34761426,34788097,26672
ENSG00000134697,37566816,37595937,29122
ENSG00000187513,34792999,34795747,2749
ENSG00000225671,50405430,50406024,595
ENSG00000116151,2321253,2391707,70455
ENSG00000006555,54779712,54801323,21612
ENSG00000236111,45781277,45781957,681
ENSG00000214114,38862493,38873368,10876
ENSG00000116544,34865436,34929650,64215
ENSG00000236723,53209783,53213775,3993
ENSG00000232467,45846994,45847594,601
ENSG00000117016,40620680,40665682,45003
ENSG00000163866,34712737,34859755,147019
ENSG00000237130,50846468,50846837,370
ENSG00000232335,35739389,35743576,4188
ENSG00000232762,53304536,53307462,2927
ENSG00000162384,53214099,53220634,6536
ENSG00000162391,54609181,54623556,14376
ENSG00000117859,51577179,51798427,221249
ENSG00000162396,54756898,54764523,7626
ENSG00000284686,56173433,56524495,351063
ENSG00000162378,52726453,52827336,100884
ENSG00000259818,53220663,53224253,3591
ENSG00000234318,62896009,62901639,5631
ENSG00000227485,63024207,63025658,1452
ENSG00000236646,62038842,62039111,270
ENSG00000243725,54715861,54742657,26797
ENSG00000171872,44118821,44135140,16320
ENSG00000162407,56494761,56645301,150541
ENSG00000163877,37534449,37554293,19845
ENSG00000228929,52772194,52772648,455
ENSG00000224570,65576129,65578380,2252
ENSG00000224980,56585612,56586242,631
ENSG00000278967,62607766,62609584,1819
ENSG00000157184,53196792,53214197,17406
ENSG00000198815,42176539,42335877,159339
ENSG00000134744,52408282,52553487,145206
ENSG00000233910,40593633,40594353,721
ENSG00000287703,34640157,34685732,45576
ENSG00000283039,44137821,44141631,3811
ENSG00000229294,65279456,65306521,27066
ENSG00000236973,51707138,51708137,1000
ENSG00000277397,53180921,53186900,5980
ENSG00000162385,53226900,53238518,11619
ENSG00000275350,38383838,38384422,585
ENSG00000123080,50960745,50974634,13890
ENSG00000285778,73787370,73915340,127971
ENSG00000233407,50206084,50223127,17044
ENSG00000162598,59987269,60073770,86502
ENSG00000280317,72979014,72979314,301
ENSG00000162415,45016399,45306209,289811
ENSG00000162600,58415384,58546802,131419
ENSG00000116704,66999350,67054148,54799
ENSG00000157193,53242364,53328469,86106
